feature,correlation
quantity,0.1840683038269108
sentence_count,0.17838068240947352
text_length,0.14587436433542647
number_count,0.1443490970573966
word_count,0.14305175970881878
qual_budget,0.14078420108942133
cat_automotive,0.11350591644866452
cat_jewelry,0.1129778161841529
qual_premium,0.11246079034769696
pack_size_log,0.10772241578371254
cat_health,0.10758872929353078
price_exclusive,0.10379244573563433
size_medium,0.10004287275448416
brand_licensed,0.09286669375648791
brand_branded,0.08829881343314687
capital_ratio,-0.06557322319619194
qual_handmade,0.06247135795434434
cat_food,0.059738770698662895
char_per_word,0.058527452994055686
cat_home,0.05211394538709811
qual_authentic,0.05107982317798557
description_sections,0.048047039082429584
cat_electronics,0.04382059840096352
size_king,0.035354488792709186
price_value,0.03373075529195093
size_small,0.03338521164818387
sample_id,-0.028270520895864387
qual_professional,0.02664082813970362
cat_sports,0.023144452595149616
size_large,0.022665337315231418
qual_durable,0.02173286630124873
cat_tools,0.020028464534285556
price_expensive,0.019493955486787277
has_bullet_points,0.017115627170271746
brand_trademarked,0.01572601061692671
price_cheap,0.015401057220336535
cat_toys,-0.013462593898007967
cat_books,0.011012365097972945
cat_beauty,0.010637661073369555
min_number,0.008008579345965596
avg_number,-0.004420679216838358
number_range,-0.00421972767483311
max_number,-0.004219727313414139
is_bulk,0.0020334118192440786
cat_clothing,-4.295102060444631e-05
